Row,Col,Question,Answer,Categories,Rows,Cols,Scores
1,0,STD stands for this,Sexually transmitted disease,Caught In The Act,5,5
2,0,Myth or Fact: You can't get STDs from oral sex,False,Mythbusters,,
3,0,This is the age of consent in Georgia,Sixteen,Sexy Can I?,,
4,0,This is the 100% effective way to avoid getting pregnant or an STD,Abstinence,Let's Get Statistical,,
5,0,The crime for having sex with someone underage is referred to as this,Statutory Rape,Sexy Can I?,,
1,1,This emergency contraceptive is used to prevent pregnancy after sexual intercourse.,Plan B.,Under Control,,
2,1,This is the most common used form of birth control for women., What are birth control pills?., Under Control for 100.,,,
3,1,The Plan B pill is 89% effective up to this amount of days after sex., What is 3 days?., Let's Get Statistical for 300,,,
4,1,Will you have a dinner with me?,Will you have dinner with me?,,,
5,1,We enjoy watching the television.,We enjoy watching television.,,,
1,2,A tool you can cut hair with?,Scissors,,,
2,2,A Drink you get if you squeeze oranges?,Orange Juice,,,
3,2,Dark glasses you can use when the sun is bright?,Sunglasses,,,
4,2,A big piece of cloth you can dry your body with?,Towel,,,
5,2,A white stick you can use to write on a BLACK BOARD?,Chalk,,,
1,3,"“1,300”",N,,,
2,3,"“573,110",N,,,
3,3,"“11,531,113”",N,,,
4,3,"“89,135,964.4”",N,,,
5,3,"“17, 770.35”",N,,,
1,4,What language is spoken in China?,Chinese,,,
2,4,What language is spoken in Korea?,Korean,,,
3,4,What language is spoken in Russia?,Russian,,,
4,4,What language is spoken in Holland?,Dutch,,,
5,4,What language is spoken in Brazil?,Portuguese,,,
1,5,"Who wrote Julius Caesar, Macbeth, and Hamlet?",Shakespeare,,,
2,5,In what building does the American president live?,The White House,,,
3,5,What’s the most widely spoken language in the world?,Chinese,,,
4,5,What’s the approximate population of the U.S.A.?,230 to 260 million acceptable,,,
5,5,What is the biggest animal in the world?,the blue whale,,,
